Equipment state (expert assessment),Substation name,Dispatcher name,Transformer,Winding arrangement & Switching devices,Oil year,Breakdown voltage. kV,Moisture content. g/t,Acid number. mgKOH/g,Oil tangent at 90С. %,Flash point in closed cup. С,Н2. % vol.,СН4. % vol.,С2Н4. % vol.,С2Н6. % vol.,С2Н2. % vol.,СО2. % vol.,СО. % vol.,Winding year,Winding temperature during  last tests. C,R60 insulation resistance of HV winding. measured during commissioning tests. Mohm,R60 insulation resistance of HV winding. measured during last tests. MOhm,Tangent of HV winding insulation. measured during last tests. %,R60 insulation resistance of MV (LV1) winding. measured during commissioning tests. MOhm,Tangent of MV (LV1) winding insulation. measured during commissioning tests. %,R60 insulation resistance of MV (LV1) winding. measured during last tests. MOhm,Tangent of MV (LV1) winding insulation. measured during last tests. %,R60 insulation resistance of LV (LV2) winding. measured during commissioning tests. MOhm,Tangent of MV (LV2) winding insulation. measured during commissioning tests. %,R60 insulation resistance of LV (LV2) winding. measured during last tests. MOhm,Tangent of MV (LV2) winding insulation. measured during last tests. %,On-load tap-changer year,Breakdown voltage of oil from the tank. kV
satisfactory,Zapadnaia,Т-2,TDTN-40000/110/35/6,3.00,1966.0,62.2,43652.00,0.14,0.01,144.00,0.000781,0.000147,0.0013,0.00,0.00,0.21,0.01,1966.0,38.0,800.00,1800.00,0.42,650.00,0.36,2500.00,0.4,350.00,0.36,2500.00,0.43,1966.0,-1.0
satisfactory,Petrovskaia,Т-1,TDTNG-31500/110/35/6,3.00,1964.0,63.5,5.0,0.71,0.02,143.00,0.000797,0.000322,0.002049,0.00,0.00,0.23,0.01,1964.0,25.0,340.00,1800.00,0.4,1700.00,0.54,2800.00,0.5,1600.00,0.54,2200.00,0.48,1964.0,-1.0
satisfactory,Maianga,Т-1,TMN-6300/110/35/10,3.00,1983.0,78.4,-1.0,43466.00,0.01,141.00,0.000331,0.00,0.000587,0.000031,0.00,0.09,0.01,1983.0,-1.0,2200.00,10000.00,0.18,2000.00,0.29,10000.00,0.22,1800.00,0.33,10000.00,0.23,1983.0,-1.0
satisfactory,Kormyozhka,Т-1,TDTN-10000/110/35/10,3.00,1971.0,74.0,-1.0,1.14,0.03,141.00,0.000536,5.6999999999999996e-05,0.001057,0.000088,0.00,0.13,0.02,1971.0,-1.0,1400.00,5000.00,0.14,1270.00,0.4,3750.00,0.26,1750.00,0.4,4750.00,0.19,1971.0,-1.0
satisfactory,Cherkaskaia,Т-1,TDTN-16000/110/35/10,3.00,1979.0,49.0,-1.0,4.00,0.04,143.00,0.001419,0.000393,0.001729,0.00018,0.00,0.17,0.03,1979.0,-1.0,630.00,275.00,0.4,650.00,0.33,275.00,0.38,800.00,0.33,275.00,0.29,1979.0,-1.0
satisfactory,Miloradovka,Т-1,TMTN-6300/110/35/10,3.00,1978.0,59.6,-1.0,9.65,0.05,141.00,0.000103,3.2e-05,0.001991,0.000012,0.00,0.09,0.02,1978.0,-1.0,850.00,1300.00,0.68,850.00,0.4,1450.00,0.42,1000.00,0.5,1300.00,0.53,1978.0,-1.0
satisfactory,Orlovgaiskaia,Т-1,TDTN-10000/110,3.00,1968.0,68.0,12.0,2.60,0.02,135.00,0.00081,2.8999999999999997e-05,0.00003,0.000029,0.000021,0.12,0.02,1968.0,29.0,3000.00,2800.00,0.59,2600.00,0.58,2300.00,0.74,1700.00,0.7,1450.00,0.86,1968.0,-1.0
satisfactory,Orlovgaiskaia,Т-2,TDTN-10000/110,3.00,1965.0,70.0,43505.00,43740.00,0.02,138.00,0.00075,1.6e-05,0.00002,0.000027,0.000002,0.18,0.01,1965.0,30.0,3500.00,3000.00,0.79,2800.00,0.6,2500.00,0.8,2000.00,0.7,1850.00,0.90,1965.0,-1.0
satisfactory,Novouzenskaia,Т-2,TDTN-10000/110,3.00,1963.0,66.0,11.0,2.20,0.03,140.00,0.000345,5.1e-05,0.002246,0.000056,0.00,0.13,0.02,1963.0,40.0,1450.00,1350.00,0.54,1500.00,0.3,1460.00,0.42,1500.00,0.3,1460.00,0.42,1963.0,-1.0
satisfactory,Novouzenskaia,Т-3,TDTN-16000/110,3.00,1977.0,70.0,43625.00,2.30,0.02,139.00,0.000609,0.00014099999999999998,0.000423,0.000215,0.00,0.18,0.01,1977.0,34.0,3500.00,3350.00,0.46,4200.00,0.3,4050.00,0.42,3500.00,0.3,3300.00,0.44,1977.0,-1.0
satisfactory,Dergachevskaia,Т-1,TDTNG-25000/110,3.00,1975.0,67.0,10.0,2.20,0.02,140.00,0.000013,2.7000000000000002e-05,0.000032,0.000045,0.000003,0.13,0.01,1975.0,38.0,1550.00,1430.00,0.56,1650.00,0.3,1490.00,0.46,1700.00,0.3,1580.00,0.38,1975.0,-1.0
satisfactory,Dergachevskaia,Т-2,TDTN-20000/110,3.00,1986.0,70.0,9.0,2.60,0.02,139.00,0.000333,6.3e-05,0.002456,0.000061,0.00,0.13,0.01,1986.0,27.0,8000.00,7550.00,0.21,8000.00,0.2,7500.00,0.22,5500.00,0.2,5125.00,0.23,1986.0,-1.0
satisfactory,Pereliubskaia,Т-2,TDTN-10000-110,3.00,1974.0,61.0,12.0,0.04,0.00,142.00,0.000417,7.4e-05,0.003794,0.000067,0.00,0.21,0.03,1974.0,38.0,-1.00,200.00,0.68,-1.00,-1.0,175.00,0.8,-1.00,-1.0,287.50,0.70,1974.0,-1.0
satisfactory,Ivanteevskaia,Т-1,TDTN-16000/110-76U1,3.00,1979.0,61.6,13.0,-1.00,0.02,147.00,0.000327,0.00011899999999999999,0.004218,0.000075,0.00,0.16,0.03,1979.0,48.0,-1.00,4000.00,0.2,-1.00,-1.0,2000.00,0.22,-1.00,-1.0,2125.00,0.29,1979.0,-1.0
satisfactory,Znamenskaia,Т-2,TDTN-10000/110-79U1,3.00,1984.0,67.6,11.0,-1.00,0.02,143.00,0.00071,0.0005740000000000001,0.0059,0.000638,0.00,0.13,0.01,1984.0,40.0,-1.00,487.50,0.3,-1.00,-1.0,300.00,0.4,-1.00,-1.0,600.00,0.40,1984.0,-1.0
satisfactory,Pugachevskaia,Т-1,TDTN-25000/110-66,3.00,1975.0,66.4,43658.00,0.00,0.02,144.00,0.000544,0.00018700000000000002,0.003667,0.000066,0.00,0.28,0.06,1975.0,43582.00,-1.00,1000.00,0.33,-1.00,-1.0,700.00,0.35,-1.00,-1.0,950.00,0.34,1975.0,-1.0
